Font: JF Dot M+ 12  Style: Bold
Point Size: 1   Padding: 9   SP/PD Ratio: 900.0%

Characters included: 2450/7150
Missing characters: 29
Excluded characters: 4671

Characters missing from font file:
----------------------------------------
ID: 20171	Hex: 4ECB	Char [介]
ID: 20250	Hex: 4F1A	Char [会]
ID: 35299	Hex: 89E3	Char [解]
ID: 22238	Hex: 56DE	Char [回]
ID: 22602	Hex: 584A	Char [塊]
ID: 22730	Hex: 58CA	Char [壊]
ID: 24315	Hex: 5EFB	Char [廻]
ID: 24555	Hex: 5FEB	Char [快]
ID: 24618	Hex: 602A	Char [怪]
ID: 24724	Hex: 6094	Char [悔]
ID: 24674	Hex: 6062	Char [恢]
ID: 25040	Hex: 61D0	Char [懐]
ID: 25106	Hex: 6212	Char [戒]
ID: 25296	Hex: 62D0	Char [拐]
ID: 25913	Hex: 6539	Char [改]
ID: 27263	Hex: 6A7F	Char [橿]
ID: 26806	Hex: 68B6	Char [梶]
ID: 39949	Hex: 9C0D	Char [鰍]
ID: 28511	Hex: 6F5F	Char [潟]
ID: 21106	Hex: 5272	Char [割]
ID: 21917	Hex: 559D	Char [喝]
ID: 24688	Hex: 6070	Char [恰]
ID: 25324	Hex: 62EC	Char [括]
ID: 27963	Hex: 6D3B	Char [活]
ID: 28167	Hex: 6E07	Char [渇]
ID: 28369	Hex: 6ED1	Char [滑]
ID: 33883	Hex: 845B	Char [葛]
ID: 35088	Hex: 8910	Char [褐]
ID: 36676	Hex: 8F44	Char [轄]
ID: 19988	Hex: 4E14	Char [且]
ID: 39993	Hex: 9C39	Char [鰹]
ID: 21494	Hex: 53F6	Char [叶]
ID: 26907	Hex: 691B	Char [椛]
ID: 27194	Hex: 6A3A	Char [樺]
ID: 38788	Hex: 9784	Char [鞄]
ID: 26666	Hex: 682A	Char [株]
ID: 20828	Hex: 515C	Char [兜]
ID: 31427	Hex: 7AC3	Char [竃]
ID: 33970	Hex: 84B2	Char [蒲]
ID: 37340	Hex: 91DC	Char [釜]
ID: 37772	Hex: 938C	Char [鎌]
ID: 22107	Hex: 565B	Char [噛]
ID: 40232	Hex: 9D28	Char [鴨]
ID: 26658	Hex: 6822	Char [栢]
ID: 33541	Hex: 8305	Char [茅]
ID: 33841	Hex: 8431	Char [萱]
ID: 24012	Hex: 5DCC	Char [巌]
ID: 29609	Hex: 73A9	Char [玩]
ID: 30284	Hex: 764C	Char [癌]
ID: 30524	Hex: 773C	Char [眼]
ID: 23721	Hex: 5CA9	Char [岩]
ID: 32747	Hex: 7FEB	Char [翫]
ID: 36107	Hex: 8D0B	Char [贋]
ID: 38593	Hex: 96C1	Char [雁]
ID: 38929	Hex: 9811	Char [頑]
ID: 38996	Hex: 9854	Char [顔]
ID: 39000	Hex: 9858	Char [願]
ID: 20225	Hex: 4F01	Char [企]
ID: 20238	Hex: 4F0E	Char [伎]
ID: 21361	Hex: 5371	Char [危]
ID: 21916	Hex: 559C	Char [喜]
ID: 22120	Hex: 5668	Char [器]
ID: 22522	Hex: 57FA	Char [基]
ID: 22855	Hex: 5947	Char [奇]
ID: 23305	Hex: 5B09	Char [嬉]
ID: 23492	Hex: 5BC4	Char [寄]
ID: 23696	Hex: 5C90	Char [岐]
ID: 24076	Hex: 5E0C	Char [希]
ID: 24190	Hex: 5E7E	Char [幾]
ID: 24524	Hex: 5FCC	Char [忌]
ID: 25582	Hex: 63EE	Char [揮]
ID: 26426	Hex: 673A	Char [机]
ID: 26071	Hex: 65D7	Char [旗]
ID: 26082	Hex: 65E2	Char [既]
ID: 26399	Hex: 671F	Char [期]
ID: 26827	Hex: 68CB	Char [棋]
ID: 26820	Hex: 68C4	Char [棄]
ID: 26429	Hex: 673D	Char [朽]
ID: 27714	Hex: 6C42	Char [求]
ID: 27762	Hex: 6C72	Char [汲]
ID: 27875	Hex: 6CE3	Char [泣]
ID: 28792	Hex: 7078	Char [灸]
ID: 29699	Hex: 7403	Char [球]
ID: 31350	Hex: 7A76	Char [究]
ID: 31406	Hex: 7AAE	Char [窮]
ID: 31496	Hex: 7B08	Char [笈]
ID: 32026	Hex: 7D1A	Char [級]
ID: 31998	Hex: 7CFE	Char [糾]
ID: 32102	Hex: 7D66	Char [給]
ID: 26087	Hex: 65E7	Char [旧]
ID: 29275	Hex: 725B	Char [牛]
ID: 21435	Hex: 53BB	Char [去]
ID: 23621	Hex: 5C45	Char [居]
ID: 24040	Hex: 5DE8	Char [巨]
ID: 25298	Hex: 62D2	Char [拒]
ID: 25312	Hex: 62E0	Char [拠]
ID: 25369	Hex: 6319	Char [挙]
ID: 28192	Hex: 6E20	Char [渠]
ID: 34394	Hex: 865A	Char [虚]
ID: 35377	Hex: 8A31	Char [許]
ID: 36317	Hex: 8DDD	Char [距]
ID: 37624	Hex: 92F8	Char [鋸]
ID: 28417	Hex: 6F01	Char [漁]
ID: 31142	Hex: 79A6	Char [禦]
ID: 39770	Hex: 9B5A	Char [魚]
ID: 20136	Hex: 4EA8	Char [亨]
ID: 20139	Hex: 4EAB	Char [享]
ID: 20140	Hex: 4EAC	Char [京]
ID: 35641	Hex: 8B39	Char [謹]
ID: 36817	Hex: 8FD1	Char [近]
ID: 37329	Hex: 91D1	Char [金]
ID: 21535	Hex: 541F	Char [吟]
ID: 37504	Hex: 9280	Char [銀]
ID: 20061	Hex: 4E5D	Char [九]
ID: 20534	Hex: 5036	Char [倶]
ID: 21477	Hex: 53E5	Char [句]
ID: 21306	Hex: 533A	Char [区]
ID: 29399	Hex: 72D7	Char [狗]
ID: 29590	Hex: 7396	Char [玖]
ID: 30697	Hex: 77E9	Char [矩]
ID: 33510	Hex: 82E6	Char [苦]
ID: 36527	Hex: 8EAF	Char [躯]
ID: 39366	Hex: 99C6	Char [駆]
ID: 39368	Hex: 99C8	Char [駈]
ID: 39378	Hex: 99D2	Char [駒]
ID: 20855	Hex: 5177	Char [具]
ID: 24858	Hex: 611A	Char [愚]
ID: 34398	Hex: 865E	Char [虞]
ID: 21936	Hex: 55B0	Char [喰]
ID: 31354	Hex: 7A7A	Char [空]
ID: 20598	Hex: 5076	Char [偶]
ID: 23507	Hex: 5BD3	Char [寓]
ID: 36935	Hex: 9047	Char [遇]
ID: 38533	Hex: 9685	Char [隅]
ID: 20018	Hex: 4E32	Char [串]
ID: 27355	Hex: 6ADB	Char [櫛]
ID: 37351	Hex: 91E7	Char [釧]
ID: 23633	Hex: 5C51	Char [屑]
ID: 23624	Hex: 5C48	Char [屈]
ID: 21127	Hex: 5287	Char [劇]
ID: 25119	Hex: 621F	Char [戟]
ID: 25731	Hex: 6483	Char [撃]
ID: 28608	Hex: 6FC0	Char [激]
ID: 38553	Hex: 9699	Char [隙]
ID: 26689	Hex: 6841	Char [桁]
ID: 20625	Hex: 5091	Char [傑]
ID: 27424	Hex: 6B20	Char [欠]
ID: 27770	Hex: 6C7A	Char [決]
ID: 28500	Hex: 6F54	Char [潔]
ID: 31348	Hex: 7A74	Char [穴]
ID: 32080	Hex: 7D50	Char [結]
ID: 34880	Hex: 8840	Char [血]
ID: 35363	Hex: 8A23	Char [訣]
ID: 26376	Hex: 6708	Char [月]
